City,Population,Latitude,Longitude,Covid Cases,Recovery,Deaths,POCC (in %),Altitude (in m),Average annual relative humidity (in %)
Pune,9430000,18.5204,73.8567,1051931,1017744,16622,11.155,560,59.3
Mumbai,12000000,19.076,72.8777,720349,690023,15396,6.002,14,74.9
Thane,11000000,19.2183,72.9781,578278,551370,10305,5.257,11,71.6
Nagpur,4650000,21.1458,79.0882,492417,479950,8451,10.589,310,53
Nashik,6110000,19.9975,73.7898,397837,386441,7752,6.511,584,71
Ahmednagar,4540000,19.0948,74.748,266877,257585,5446,5.878,649,51
Satara,3000000,17.6805,74.0183,190916,177959,4581,6.363,742,70.3
Solapur,4320000,17.6599,75.9064,173128,165302,4561,4.007,457,56
Raigad,2640000,18.5158,73.1822,166598,157302,3504,6.31,18,71
Kolhapur,3870000,16.705,74.2433,152027,136318,4611,3.928,546,76
Sangli,2820000,16.8524,74.5815,151460,137639,3974,5.37,549,69.8
Aurangabad,3700000,19.8762,75.3433,151061,146220,3557,4.082,568,59
Jalgaon,4220000,21.0077,75.5626,139136,135364,2628,3.297,225,66
Palghar,2990000,19.6967,72.7699,124644,120572,2653,4.168,7,70
Amravati,2890000,20.932,77.7523,93950,91852,1522,3.25,343,53
Beed,2590000,18.9901,75.7531,92704,87358,2504,3.579,515,59
Nanded,3360000,19.1383,77.321,90375,86839,2659,2.689,362,47.5
Latur,2460000,18.4088,76.5604,89808,86800,2230,3.65,515,58.4
Chandrapur,2190000,19.9615,79.2961,87883,85917,1554,4.012,188,53
Buldhana,2590000,20.5292,76.1842,83729,82699,686,3.232,646,52.5
Yavatmal,2780000,20.3899,78.1307,75925,74050,1736,2.731,445,53
Osmanabad,1660000,18.1853,76.042,61716,59194,1693,3.717,653,53
Ratnagiri,1610000,16.9902,73.312,60467,53573,1709,3.755,11,71.5
Bhandara,1200000,21.1777,79.657,60050,58265,1115,5.004,244,57.5
Jalna,1960000,19.8347,75.8816,59700,57690,1150,3.045,508,59
Akola,1820000,20.7002,77.0082,58824,56954,1346,3.232,286,57
Wardha,1300000,20.7453,78.6022,58450,56560,1191,4.496,234,57.5
Parbhani,1840000,19.2608,76.7748,51651,49926,1168,2.807,347,59
Dhule,2050000,20.9042,74.7749,45785,44315,642,2.233,319,59
Washim,1200000,20.1119,77.1313,41346,40391,629,3.445,546,58
Sindhudurg,850000,16.3492,73.5594,40483,34343,996,4.762,103,57
Gondia,1320000,21.4549,80.1961,40415,39682,558,3.061,300,62
Nandurbar,1650000,21.7469,74.124,39022,37697,947,2.364,210,67
Gadchiroli,1070000,20.1849,79.9948,29470,28532,646,2.754,217,62
Hingoli,1180000,19.7174,77.1494,18263,17687,446,1.547,457,59